NO CLASSES,,,7-7:45am,,,7:30-8:20am,,,,7-7:45am,,7:30-8:20am,,,,12-1pm,,,11-12pm,,,
,,,CYCLE (I),,,WAKE UP!,,,,CYCLE (S),,WAKE UP!,,,,PILATES,,,BODYPUMP,,¬,
,,,Ashley/Zoe (GFR),,,Coe (GFR),,,,Megan (GFR),,Coe (GFR),,,,Karen (GFR),,,Anne (GFR),,,
,,,Through May 22,,,,,,,,,,,,,,,,Through May 22,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,12-12:50pm,,,12-12:50pm,,,,12-1pm,,12-12:50pm,,,,4:30-5:30pm,,,2-2:50pm,,,
,,,BODYSCULPT,,,BODYPUMP,,¬,,YOGA,,ZUMBA,,¬,,YOGA,,,ZUMBA,,,
,,,Denise (GFR),,,Kara/Anne (GFR),,,,Ruth (GFR),,Pam (GFR),,,,Betsy (MPR),,,Terri (GFR),,,
,,,,,,,,,,,,,,,,Through May 22,,,Through May 22,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,1-2pm,,,1-1:45pm,,,,4:45-5:45pm,,4:45-5:45pm,,,,5:15-6:05pm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,YOGA,,,CYCLE (S),,,,BODYCOMBAT,,YOGA,,,,CARDIO DANCE,,,,,,
,,,Anjuli/Betsy (GFR),,,Darius (GFR),,,,Natalia (GFR),,Maria (MPR),,,,Tori (GFR),,,,,,
,,,,,,,,,,,,,,,,Through May 22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,4:45-5:45pm,,,5-5:50pm,,,,5:45-6:45pm,,5-6pm,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,BODYPUMP,¬,,ZUMBA,¬,,,BODYPUMP,¬,BODYPUMP,,¬,,,,,,,,
,,,Allison (GFR),,,Terri (GFR),,,,Marina (GFR),,Natalia (GFR),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,5:45-6:30pm,,,5:15-6:15pm,,,,7-8pm,,,,,,,,,,,,
,,,CYCLE (S),,,YOGA,,,,TRX  EXTREME   ¬,,,,,,,,,,,,.
,,,Grant (GFR),,,Jennifer (MPR),,,,Keith (GFR),,,,,,,,,,,,
,,,,,,,,,,Through May 22,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,7-8pm,,,,,,,,,,,,,,,,,,,
,,,TOTAL BODY,,,,,,,,,,,,,,,,,,,
,,,CONDITIONING,,,,,,,,,,,,,,,,,,,
,,,Keith (GFR),,,,,,,,,,,,,,,,,,,
,,,Through May 22,,,,,,,,,,,,,,,,,,,
