6-6:50pm ,7-7:45am ,7:30-8:20am,7-7:45am ,7:30-8:20am,"",7-7:45am ,11-12pm 
CARDIO DANCE ,CYCLE ,WAKE UP! ,CYCLE (S) ,WAKE UP! ,"",CYCLE (S) ,BODYPUMP®  
Tiana (GFR) ,Ashley (MPR) ,Coe (GFR) ,Zoe (MPR) ,Coe (GFR) ,NEW ,Megan (MPR) ,Allison/Natalia 
"","","","","","",NEW! ,(GFR) 
"",12-12:50pm ,12-12:50pm ,12-12:50pm  ,12-12:45pm  ,"",12-1pm  ,""
"",BODYSCULPT ,BODYPUMP® EXPRESS ,ZUMBA®  ,CYCLE (E) ,"",PILATES ,2-2:50pm 
"",Denise (GFR) ,Kara (GFR) ,Kara (GFR) ,Denise (MPR) ,"",Karen (MPR) ,ZUMBA®  
"","","","","","",NEW ,Terri (MPR) 
"",12:15-1:15pm  ,12:15-1pm  ,12:15-1:15pm  ,1-1:50pm  ,"",4:30-5:30pm ,""
"",FORREST INSPIRED  ,CYCLE(S) ,YOGA ,BARRE & SCULPT ,"",YOGA ,""
"",YOGA ,Lauren (MPR) ,Ruth (MPR) ,Denise (GFR) ,"",Betsy (Dance St) ,""
"",Anjuli (MPR) ,"","","","","",""
"","",5-6pm  ,5-6pm ,4:45-5:45pm  ,"",5-5:45pm ,""
"",5-5:45pm ,BODYPUMP®  ,BODYCOMBAT®  ,YOGA ,"",CYCLE ,""
"",CYCLE (S) ,Marina (GFR) ,Natalia (GFR) ,Maria (Dance St) ,"",Shannon (MPR) ,""
"",Grant (MPR) ,"","","","","",""
"","",5-5:45pm ,5-5:45pm ,5-6pm  ,"",5:15-6:05pm ,""
"",5:15-6:15pm ,CYCLE (I) ,CYCLE (S) ,BODYPUMP®  ,"",CARDIO DANCE ,""
"",TOTAL BODY  ,Megan Y (MPR) ,Nicole (MPR) ,Mohammad (GFR) ,"",Tori (GFR) ,""
"",CONDITIONING ,"","","",PUNCH CARD ,"",""
"",Keith (GFR) ,5:15-6:15pm  ,5:15-6:15pm ,5-5:45pm ,"","",""
"","",YOGA ,YOGA ,CYCLE ,"",PRICES ,""
"",5:30-6:30pm ,Jennifer (Dance St) ,Ryah (Dance St) ,Eliza (MPR) ,"","",""
"",YOGA ,"","","","",6-PUNCH $40 ,""
"",Betsy (Dance St) ,5:45-6:35pm ,6:15-7:15pm ,6-6:50pm ,"",12-PUNCH $70 ,""
"","",ZUMBA®  ,BODYPUMP®  ,ZUMBA®  ,"","",""
"",6:20-7:20pm ,Danielle (MPR) ,Anne (GFR) ,Cameron (MPR) ,"",24-PUNCH $95 ,""
"",BODYCOMBAT®  ,"","","",36P-PUUNNCCHH $ C1A15R D PRICES ,"",""
"",Allison (GFR) ,6:15-7:15pm ,7:30-8:30pm ,"","",6-PUNCH $40 ,""
"","",INSANITY®  ,TRX®  EXTREME ,"",One time class pass-,12-PUNCH $70 ,""
"",7:30-8:30pm ,Mohammad (GFR) ,Keith (GFR) ,"","",es available .  ,""
"",BODYPUMP®  ,"","","","",24-PUNCH $95 ,""
"",Andrea (GFR) ,6:40-7:30pm ,"","","",36-PUNCH $115 ,""
"","",PILATES ,"","","","",""
"","",Marina (MPR) ,"","",One time class passes available .  ,"",""
"","","","","",Instructor & class are subject to change ,"",""
"","","","","","",or cancellation. ,""
